연도,분기,행정동_코드,행정동_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2020,1,11410585,신촌동,368,6.0,10.0,1.0,,22.0,1.0,3.0,1.0,1.0,109.0,1.0,,4.0,3.0,,,,2.0,60.0
2020,1,11410615,연희동,201,7.0,7.0,,1.0,16.0,,1.0,3.0,1.0,13.0,,,1.0,1.0,,,,,70.0
2020,1,11410620,홍제1동,135,3.0,2.0,,,10.0,2.0,2.0,,,1.0,,,,1.0,,,,1.0,40.0
2020,1,11410640,홍제3동,129,3.0,3.0,,2.0,14.0,1.0,2.0,1.0,,3.0,,4.0,,6.0,,,,1.0,46.0
2020,1,11410655,홍제2동,56,1.0,,,,6.0,3.0,,,,,,,,1.0,,,,,15.0
2020,1,11410660,홍은1동,86,3.0,,,,7.0,1.0,1.0,,,,,,,1.0,,,,,32.0
2020,1,11410685,홍은2동,161,4.0,2.0,1.0,,8.0,,2.0,3.0,1.0,12.0,,,,,,,,,83.0
2020,1,11410690,남가좌1동,94,2.0,3.0,,1.0,9.0,,1.0,,,,,1.0,,1.0,,,,1.0,20.0
2020,1,11410700,남가좌2동,117,4.0,4.0,,,12.0,4.0,1.0,1.0,,8.0,,,,,,,,,24.0
2020,1,11410710,북가좌1동,60,1.0,2.0,,,5.0,2.0,1.0,1.0,1.0,,,,,,,,,,13.0
2020,1,11410720,북가좌2동,115,3.0,3.0,,,12.0,2.0,,,,,,,,,,,,,39.0
2020,1,11440555,아현동,145,5.0,8.0,,,16.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,2.0,23.0
2020,1,11440565,공덕동,172,7.0,9.0,,,21.0,1.0,3.0,,,,,2.0,,,,,,4.0,39.0
2020,1,11440585,도화동,144,4.0,7.0,,,15.0,2.0,1.0,,,,,,1.0,1.0,,,,1.0,38.0
2020,1,11440590,용강동,90,7.0,6.0,,1.0,10.0,2.0,1.0,,,,,,,,,,,1.0,24.0
2020,1,11440600,대흥동,209,5.0,5.0,,,18.0,,3.0,1.0,1.0,27.0,,,,3.0,,,,3.0,38.0
2020,1,11440610,염리동,52,3.0,1.0,,,3.0,1.0,1.0,2.0,3.0,,,,,2.0,,,,,10.0
2020,1,11440630,신수동,76,4.0,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,24.0
