연도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,총_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_직장_인구_수,전체,1층,1층외,영역_면적,_merge
2020,1,11215780,능동,2846023,4266864000,17767351584.0,630,25,22,66,2600331,47,4.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1369.0,101015.0,137075.0,64954.0,1092105,both
2020,1,11215810,광장동,5284540,3478064000,23039730779.0,1097,36,30,99,6723060,139,5.0,9.0,0.0,0.0,9.0,3.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,5066.0,109780.0,145578.0,73982.0,2393761,both
2020,1,11215820,자양1동,2745988,4222584000,29791393450.0,1312,51,39,125,9201605,106,3.0,4.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8810.0,103772.0,117351.0,90194.0,568868,both
2020,1,11215830,자양2동,2999213,2706127000,13369920499.0,1038,31,25,89,5318703,95,2.0,1.0,0.0,0.0,8.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2177.0,88084.0,96289.0,79879.0,1657523,both
2020,1,11215840,자양3동,4353416,3641520000,40729302109.0,1281,56,33,138,7701288,105,2.0,6.0,0.0,0.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,2008.0,128937.0,135911.0,121963.0,1196419,both
2020,1,11215847,자양4동,2795134,6289200000,36071703027.0,1522,59,44,121,8044789,106,5.0,2.0,0.0,1.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,849.0,106808.0,143823.0,69793.0,1180023,both
2020,1,11215850,구의1동,2683701,3600502000,45627320211.0,1462,58,47,120,6818044,77,2.0,4.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3413.0,78822.0,107625.0,50020.0,565313,both
2020,1,11215860,구의2동,2948328,3495485000,19977502145.0,937,34,32,80,7304476,112,3.0,2.0,0.0,1.0,9.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,2134.0,109420.0,151408.0,67432.0,1388041,both
2020,1,11215870,구의3동,4010979,9855878000,136103321537.0,2508,79,71,214,6891769,133,5.0,4.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0,9125.0,106504.0,117932.0,95075.0,1027561,both
2020,1,11230536,용신동,2894254,11950852000,76401149903.0,2648,99,83,178,14384853,231,10.0,8.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,41.0,19195.0,80990.0,99452.0,62527.0,1618399,both
2020,1,11230545,제기동,2792227,6187347000,335937387240.0,3139,78,84,69,11639217,288,4.0,5.0,0.0,1.0,22.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,1.0,30.0,4848.0,95687.0,129842.0,61533.0,1181705,both
2020,1,11230560,전농1동,3070695,4393680000,24797630919.0,1948,74,56,175,11719440,152,5.0,2.0,0.0,1.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,35.0,1128.0,77383.0,94184.0,60581.0,1126695,both
