연도,분기,행정동_코드,행정동_코드_명,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,전체,1층,1층외,영역_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_상주인구_수,총_직장_인구_수,총_유동인구_수
2020,1,11230650,장안1동,100395561802,2691,112,84,187,79567.0,98391.0,60743.0,1342167,192,5.0,11.0,,4.0,26.0,2.0,2.0,2.0,,,,,,,,,,1.0,43.0,38254,9958.0,9832980
2020,1,11230660,장안2동,69933521267,2160,88,75,235,72941.0,96224.0,49658.0,996640,168,3.0,2.0,,2.0,21.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,38.0,31159,5242.0,7543272
2020,1,11230705,청량리동,30494073700,1105,44,42,57,70277.0,88654.0,51901.0,1204398,154,9.0,4.0,1.0,,16.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,34.0,21395,2822.0,7293369
2020,1,11230710,회기동,21763989334,977,42,56,149,100856.0,134507.0,67206.0,766917,84,3.0,5.0,1.0,,10.0,1.0,3.0,1.0,1.0,14.0,,,,,,,,,10.0,10023,179.0,5175095
2020,1,11230720,휘경1동,16426001871,711,18,30,82,100194.0,148726.0,51663.0,521796,82,2.0,1.0,,,12.0,,,,,,,,,1.0,,,,3.0,18.0,12359,902.0,5800073
2020,1,11230730,휘경2동,11142326909,559,28,17,56,84106.0,118081.0,50130.0,1113609,84,5.0,1.0,1.0,,5.0,1.0,2.0,3.0,3.0,4.0,,,,,,,,,27.0,24341,1380.0,5213967
2020,1,11230740,이문1동,21276625443,959,32,60,106,99178.0,126852.0,71504.0,1039602,147,5.0,2.0,,,13.0,3.0,,,2.0,30.0,,,,,,,,1.0,26.0,18947,1134.0,8943071
2020,1,11230750,이문2동,6270357564,482,22,16,38,62270.0,92502.0,32037.0,723890,71,2.0,,,,6.0,1.0,1.0,,,2.0,,,,,,,,1.0,17.0,20641,200.0,4975391
2020,1,11260520,면목2동,15820515109,1094,46,32,57,57289.0,75998.0,38579.0,763122,112,3.0,,,1.0,11.0,2.0,2.0,,,,,8.0,,1.0,,,,,25.0,25638,1066.0,6953351
2020,1,11260540,면목4동,9394978843,577,22,21,38,48376.0,68950.0,27801.0,843466,61,2.0,,,,5.0,1.0,1.0,1.0,,,,,,,,,,1.0,15.0,19810,769.0,6022143
2020,1,11260550,면목5동,8748193542,407,18,11,25,60955.0,70552.0,51357.0,704936,42,2.0,1.0,,,3.0,,,,,,,4.0,,,,,,,13.0,9571,991.0,2418625
2020,1,11260565,면목본동,43391682601,1588,62,53,109,74416.0,97154.0,51678.0,849019,168,4.0,2.0,,,18.0,1.0,2.0,,,,,13.0,,1.0,,,,1.0,30.0,35487,1335.0,10926104
2020,1,11260570,면목7동,34260002287,981,41,36,55,95457.0,139059.0,51855.0,1236134,108,2.0,2.0,,1.0,11.0,,1.0,,,,,1.0,,,,,,,18.0,21358,946.0,8016605
2020,1,11260575,면목38동,27031547900,1369,57,49,111,68546.0,86897.0,50195.0,1614117,150,4.0,1.0,1.0,,17.0,1.0,2.0,2.0,1.0,8.0,,,,1.0,,,,1.0,34.0,26316,1713.0,6999538
2020,1,11260580,상봉1동,47332135376,855,47,25,90,81612.0,108716.0,54508.0,854219,78,3.0,1.0,,1.0,8.0,2.0,1.0,2.0,1.0,,,,,,,,,4.0,12.0,25085,1704.0,5983454
2020,1,11260590,상봉2동,52050382328,1506,69,59,143,81862.0,98433.0,65290.0,677445,127,4.0,3.0,,1.0,10.0,,,,,,,,2.0,2.0,,,1.0,1.0,18.0,19068,4761.0,7656373
2020,1,11260600,중화1동,11612631020,620,22,25,42,64822.0,85220.0,44424.0,641493,79,2.0,1.0,,1.0,7.0,1.0,2.0,2.0,1.0,,,,,,,,,,14.0,20687,1187.0,5958720
2020,1,11260610,중화2동,32891887080,1277,46,54,91,71423.0,103485.0,39360.0,1016955,123,2.0,3.0,,,14.0,,,,,,,2.0,,,,,,3.0,32.0,26937,864.0,9411736
2020,1,11260620,묵1동,26671544525,1101,32,28,108,93656.0,125195.0,62118.0,1238436,144,4.0,2.0,,2.0,11.0,2.0,1.0,2.0,2.0,,,,,,,,,,34.0,35850,912.0,7766456
2020,1,11260630,묵2동,21390575669,915,20,21,58,59288.0,78054.0,40522.0,669204,92,3.0,4.0,,,7.0,,2.0,,,,,,1.0,,,,,1.0,19.0,19656,1390.0,6062386
2020,1,11260655,망우본동,47087100811,1775,62,73,146,63296.0,80079.0,46512.0,2948109,238,9.0,4.0,1.0,4.0,25.0,1.0,2.0,3.0,4.0,,,9.0,,2.0,,,,2.0,54.0,30726,1589.0,9805368
2020,1,11260660,망우3동,10832112786,547,21,18,36,46838.0,66780.0,26897.0,962561,54,1.0,1.0,,1.0,3.0,,2.0,,1.0,,,3.0,,,,,,,11.0,17496,423.0,5049120
2020,1,11260680,신내1동,52370708391,1203,49,29,129,81722.0,100616.0,62827.0,2606949,160,3.0,2.0,1.0,,13.0,2.0,2.0,,,,,,,,,,,1.0,53.0,40663,1973.0,5581268
2020,1,11260690,신내2동,21680623175,710,25,27,90,91611.0,133999.0,49224.0,911281,104,6.0,3.0,,,12.0,3.0,4.0,,,,,,,,,,,,21.0,21885,464.0,1991263
2020,1,11290525,성북동,15636365626,965,25,23,64,109163.0,133678.0,84648.0,2879912,166,6.0,4.0,,,6.0,2.0,1.0,3.0,2.0,5.0,,,,,,,,,55.0,16949,15551.0,4443145
2020,1,11290555,삼선동,39881271925,1425,44,48,100,80768.0,108223.0,53313.0,926227,163,7.0,5.0,,,14.0,,1.0,1.0,2.0,14.0,,,,,,,,2.0,46.0,25380,4636.0,10329237
2020,1,11290575,동선동,46017153273,1850,76,76,253,117529.0,158931.0,76127.0,724957,146,1.0,4.0,,1.0,13.0,1.0,2.0,2.0,1.0,12.0,,,1.0,,,,,1.0,19.0,15400,2112.0,8815879
2020,1,11290580,돈암1동,4659584795,375,10,8,24,73653.0,,73653.0,488898,42,1.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,15.0,16140,103.0,3411635
2020,1,11290590,돈암2동,4287833901,439,23,11,35,,,,518335,88,4.0,2.0,,,4.0,6.0,1.0,,,,,,1.0,,,,,,38.0,24943,431.0,3083493
2020,1,11290600,안암동,27605414868,1082,40,33,177,80728.0,105593.0,55863.0,1379571,167,4.0,6.0,1.0,1.0,10.0,,1.0,1.0,1.0,71.0,,,,,,,,1.0,35.0,6285,1991.0,5610971
2020,1,11290610,보문동,12402722973,726,20,18,60,73929.0,93921.0,53936.0,553006,77,4.0,4.0,,,6.0,,2.0,,,,,,,1.0,,,,2.0,10.0,15008,3276.0,6563577
2020,1,11290620,정릉1동,8473242093,568,32,19,52,62747.0,78144.0,47349.0,412365,63,2.0,,,,6.0,2.0,,,,1.0,,,,,,,,,19.0,17650,751.0,5561288
